,player,age,position,Rating,Team,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
21,Lukas Lerager ,25, DMC,6.94,Genoa,185,80,8,687,1,-,1,-,1,74.7,2.1,1,1,-,1,1,0.1,2.1,0.1,0.5,0.4,3.5,1.5,2.4,-,0.9,2.5,-,-,-,1,30.1,74.7,0.8,1,-
22,Miguel Veloso ,32, M(C),6.33,Genoa,180,79,7(7),667,-,-,3,-,1.1,81.6,0.4,-,-,-,1.1,0.3,0.1,0.3,-,0.3,0.6,1.3,0.8,1.2,-,0.6,0.8,0.1,-,-,0.3,21.8,81.6,0.4,1.4,-
23,Nicola Dalmonte ,21, Forward,6.19,Genoa,168,62,0(3),41,-,-,-,-,1,84.2,-,-,-,-,1,0.3,-,0.3,-,0.7,0.3,0.7,-,0.3,-,-,-,-,-,-,0.3,6.3,84.2,0.3,-,-
24,Nicolás Spolli ,36, D(C),6.29,Genoa,193,88,7,540,-,-,2,-,0.4,87.7,1.3,-,-,-,0.4,0.1,-,0.6,-,-,0.3,1,1,1.1,0.4,5.6,0.3,0.9,1,-,0.1,25.6,87.7,-,1.1,-
25,Oscar Hiljemark ,26, AM(C),6.49,Genoa,185,75,15(2),1202,1,-,-,-,0.8,81.5,0.7,-,1,-,0.8,0.7,0.5,0.6,0.1,0.5,0.9,1,0.8,1.1,0.1,0.8,0.6,0.2,-,-,0.7,27.7,81.5,0.4,1.1,-
26,Pedro Pereira ,21," D(R),M(R)",6.36,Genoa,182,77,10(10),949,-,-,1,-,0.1,76.8,0.9,-,-,-,0.1,0.7,0.5,0.3,-,0.5,0.9,0.8,0.4,0.7,0.1,1.7,0.3,0.2,-,-,0.7,18.6,76.8,0.4,0.9,-
27,Rômulo ,31," D(R),M(CR)",6.74,Genoa,178,72,17,1358,1,2,-,1,0.8,79.3,0.2,-,1,2,0.8,1.4,1,1.1,0.2,0.3,1.1,1.5,1.1,1.1,0.2,0.9,0.6,0.2,-,2,1.4,30.1,79.3,1.4,1.3,-
28,Sandro ,30, M(C),6.65,Genoa,187,82,9(4),714,-,1,3,-,0.4,78.9,1.8,-,-,1,0.4,0.5,-,0.8,0.2,0.2,0.2,2.1,1.5,1.6,-,1.8,0.6,0.3,-,1,0.5,25.5,78.9,-,1.4,-
29,Stefano Sturaro ,26, M(CL),6.75,Genoa,181,80,1(1),90,1,-,-,-,1,67.9,0.5,-,1,-,1,-,1,1.5,-,1.5,3,1,0.5,1,-,0.5,-,-,-,-,-,14.0,67.9,-,-,-
30,Stephane Omeonga ,23, M(C),5.95,Genoa,177,72,0(3),54,-,-,1,-,-,76.9,0.7,-,-,-,-,0.7,-,0.3,-,0.7,-,0.3,-,1.3,-,0.7,0.3,-,-,-,0.7,8.7,76.9,-,-,-
0,Alberto Cerri ,22, FW,6.25,Cagliari,194,91,5(5),448,-,-,2,-,1.6,58.7,2.8,-,-,-,1.6,0.7,0.3,0.6,0.2,1.1,1.5,0.3,0.2,1.2,-,0.2,0.3,0.1,-,-,0.7,13.8,58.7,-,0.3,-
1,Alessandro Deiola ,23, M(C),6.04,Cagliari,189,85,3(3),260,-,-,2,-,1,71.7,0.7,-,-,-,1,-,-,-,-,0.8,1,0.8,0.3,0.7,-,0.5,1,-,-,-,-,15.3,71.7,-,0.8,-
2,Alessio Cragno ,24, GK,7.06,Cagliari,184,78,30,2700,-,-,1,-,-,61.9,0.4,7,-,-,-,-,-,0.1,-,-,0.1,-,0.1,-,-,0.7,-,-,-,-,-,28.0,61.9,-,9.4,-
3,Artur Ionita ,28, AM(C),6.65,Cagliari,186,75,27(3),2369,3,2,4,-,0.9,83.5,2.5,1,3,2,0.9,0.4,0.4,0.3,0.1,1.1,0.9,1.9,0.7,1.9,-,0.8,0.9,0.2,-,2,0.4,30.1,83.5,0.2,0.8,-
4,Charalampos Lykogiannis ,25," D(L),M(L)",6.66,Cagliari,190,82,6(1),554,-,1,1,-,0.4,67.4,1.4,-,-,1,0.4,0.7,0.3,0.1,0.1,0.3,0.7,1.1,2.1,1.3,0.3,2.9,0.4,0.4,-,1,0.7,27.6,67.4,0.6,2,-
5,Cyril Théréau ,35," AM(CL),FW",6.25,Cagliari,189,78,1(3),117,-,-,-,-,0.5,70.5,1.8,-,-,-,0.5,-,0.5,-,-,1.5,0.3,0.3,-,0.5,-,0.5,-,-,-,-,-,15.3,70.5,-,-,-
6,Daniele Dessena ,31," D(R),M(C)",6.13,Cagliari,183,75,3(8),348,-,-,3,-,0.5,75.7,0.8,-,-,-,0.5,0.1,-,0.8,-,0.2,1.1,0.2,0.3,0.5,-,0.3,0.2,0.1,-,-,0.1,15.7,75.7,0.1,0.6,-
7,Darijo Srna ,36, D(R),6.72,Cagliari,182,78,21(1),1818,-,4,5,1,0.4,81.7,1.3,-,-,4,0.4,1.8,0.4,2.8,-,0.5,0.9,1,0.7,0.9,0.3,2.1,0.2,0.2,-,4,1.8,48.5,81.7,1.6,3.6,0.1
8,Diego Farias ,28," AM(CLR),FW",6.35,Cagliari,172,63,7(9),700,3,-,3,-,1.4,81.0,0.3,-,3,-,1.4,0.3,0.3,0.8,0.4,1.1,1,0.8,0.1,0.6,-,0.3,0.6,0.1,-,-,0.3,13.8,81.0,0.1,0.4,-
9,Fabio Pisacane ,33, D(CLR),6.54,Cagliari,178,77,20(2),1904,1,-,4,-,0.2,82.8,1.5,-,1,-,0.2,0.1,0.1,0.8,-,0.2,0.5,1.2,0.8,0.9,0.6,4,0.6,0.9,-,-,0.1,42.8,82.8,-,2.7,-
